date,daily_volume
8/21/22,8912.94796
8/22/22,10761.57702
8/23/22,9780.405289
8/24/22,8610.228606
8/25/22,10799.78411
8/26/22,7868.408342
8/27/22,7289.77472
8/28/22,8192.991374
8/29/22,11216.60407
8/30/22,11251.98629
8/31/22,10416.63994
9/1/22,7552.174058
9/2/22,7444.189746
9/3/22,6805.868558
9/4/22,6781.52514
9/5/22,8161.302885
9/6/22,7482.808922
9/7/22,9103.710268
9/8/22,9971.924432
9/9/22,7417.727949
9/10/22,6257.729296
9/11/22,6021.925755
9/12/22,6771.932128
9/13/22,7471.206105
9/14/22,6594.470611
9/15/22,6342.868299
9/16/22,9908.409612
9/17/22,7772.615745
9/18/22,7916.481861
9/19/22,8813.82549
9/20/22,9697.567897
9/21/22,8894.465805
9/22/22,9552.756655
9/23/22,8347.5874
9/24/22,7365.816081
9/25/22,7443.389799
9/26/22,7608.961159
9/27/22,8175.964821
9/28/22,9656.984874
9/29/22,9001.760234
9/30/22,8630.756656
10/1/22,8730.639889
10/2/22,8930.781286
10/3/22,9900.230907
10/4/22,8486.710674
10/5/22,8496.247849
10/6/22,9573.915333
10/7/22,9834.479735
10/8/22,7999.869832
10/9/22,6413.083786
10/10/22,7122.262887
10/11/22,7508.625571
10/12/22,7137.07815
10/13/22,10010.22498
10/14/22,7831.896637
10/15/22,7662.907072
10/16/22,6396.526803
10/17/22,8578.591902
10/18/22,7204.026679
10/19/22,7436.759831
10/20/22,7522.454733
10/21/22,6694.694045
10/22/22,5733.904496
10/23/22,5418.564013
10/24/22,5617.495022
10/25/22,6531.969311
10/26/22,6374.748243
10/27/22,6620.580662
10/28/22,6812.619787
10/29/22,4643.526633
10/30/22,5481.465799
10/31/22,12275.28946
11/1/22,10032.70358
11/2/22,8660.243888
11/3/22,6843.331044
11/4/22,6108.254925
11/5/22,5388.206225
11/6/22,5050.474846
11/7/22,7568.87603
11/8/22,6046.773651
11/9/22,8195.154482
11/10/22,6902.876607
11/11/22,7166.813926
11/12/22,5531.843668
11/13/22,4911.753526
11/14/22,6044.093309
11/15/22,6354.620993
11/16/22,6206.419047
11/17/22,7882.519154
11/18/22,5283.617705
11/19/22,4749.872278
11/20/22,4792.018093
11/21/22,6195.660807
11/22/22,7408.207315
11/23/22,6546.093146
11/24/22,6600.327489
11/25/22,4467.598514
11/26/22,6662.601871
11/27/22,6260.809621
11/28/22,5424.768095
11/29/22,6574.312954
11/30/22,6455.952266
12/1/22,7743.132155
12/2/22,6721.554645
12/3/22,4943.909541
12/4/22,5476.358682
12/5/22,6211.078615
12/6/22,8009.154089
12/7/22,10027.82385
12/8/22,7964.460184
12/9/22,6469.804875
12/10/22,7076.271853
12/11/22,6307.152636
12/12/22,6871.134284
12/13/22,7380.684386
12/14/22,7325.417321
12/15/22,6833.159602
12/16/22,7016.912277
12/17/22,7474.422668
12/18/22,6156.954444
12/19/22,6116.956627
12/20/22,8213.147544
12/21/22,8338.142285
12/22/22,8143.981276
12/23/22,9037.961729
12/24/22,6061.015409
12/25/22,5154.412925
12/26/22,7178.823064
12/27/22,9227.19762
12/28/22,10300.55288
12/29/22,9108.303248
12/30/22,8371.410826
12/31/22,7991.953246
